LAST UPDATE,freq,building,n_bedrooms,currency,geo,TIME_PERIOD,value,housearea
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2014,550,51
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2015,490,49
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2016,570,50
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2017,630,71
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2018,620,79
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2019,710,75
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2020,730,82
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2021,680,80
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2022,770,91
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2023,717,105
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2015,350,49
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2016,372,50
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2017,410,71
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2018,450,79
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2019,440,75
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2020,470,82
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2021,510,80
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2022,570,91
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2023,710,105
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2015,490,49
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2016,610,50
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2017,590,71
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2018,570,79
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2019,750,75
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2020,730,82
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2021,620,80
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2022,700,91
11/12/23 23:00:00,Annual,flat,1,Euro,Rijeka,2023,700,105
11/12/23 23:00:00,Annual,flat,2,Euro,Rijeka,2014,650,89
11/12/23 23:00:00,Annual,flat,2,Euro,Rijeka,2015,730,87
11/12/23 23:00:00,Annual,flat,2,Euro,Rijeka,2016,800,90
11/12/23 23:00:00,Annual,flat,2,Euro,Rijeka,2017,890,110
11/12/23 23:00:00,Annual,flat,2,Euro,Rijeka,2018,950,125
11/12/23 23:00:00,Annual,flat,2,Euro,Rijeka,2019,950,125
11/12/23 23:00:00,Annual,flat,2,Euro,Rijeka,2020,970,132
11/12/23 23:00:00,Annual,flat,2,Euro,Rijeka,2021,1050,150
11/12/23 23:00:00,Annual,flat,2,Euro,Rijeka,2014,790,110
11/12/23 23:00:00,Annual,flat,2,Euro,Rijeka,2014,790,100
11/12/23 23:00:00,Annual,flat,3,Euro,Rijeka,2014,1100,180
11/12/23 23:00:00,Annual,flat,3,Euro,Rijeka,2015,1100,175
11/12/23 23:00:00,Annual,flat,3,Euro,Rijeka,2016,1200,200
11/12/23 23:00:00,Annual,flat,3,Euro,Rijeka,2017,1350,251
11/12/23 23:00:00,Annual,flat,3,Euro,Rijeka,2018,1550,275
