LAST UPDATE,freq,building,n_bedrooms,currency,geo,TIME_PERIOD,value
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2014,1950
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2015,1950
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2016,2100
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2017,2200
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2018,2450
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2019,2500
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2020,2550
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2021,2750
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2022,2700
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2023,3050
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2014,1250
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2015,1250
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2016,1350
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2017,1300
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2018,1550
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2019,1550
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2020,1600
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2021,1700
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2022,1950
11/12/23 23:00:00,Annual,house,n/a,Euro,Rijeka,2023,2150
